timestamp,heart_rate,spo2
1756351459,86,98
1756351460,86,98
1756351460,87,98
1756351461,87,98
1756351461,86,98
1756351462,86,98
1756351462,85,98
1756351463,85,98
1756351463,84,98
1756351464,84,98
